period,seriesId,seriesDescription,stateId/0,stateDescription,value,unit
2019,SFINB,Supplemental gaseous fuels consumed by the industrial sector,CO,Colorado,1249,Billion Btu
2021,WDICB,Wood energy consumed by the industrial sector,CO,Colorado,467,Billion Btu
2021,FFTCB,Fossil fuels total consumption,CO,Colorado,1258779,Billion Btu
2021,TECPB,Total energy consumption per capita in the commercial sector,CO,Colorado,43,Million Btu
2021,WYGBP,Wind generating units net summer capacity in all sectors,CO,Colorado,4991,Thousand kilowatts
2021,NGGBP,Natural gas generating units net summer capacity in all sectors,CO,Colorado,6643,Thousand kilowatts
2019,NGEIP,Natural gas consumed by the electric power sector (including supplemental gaseous fuels),CO,Colorado,130775,Million cubic feet
2019,SOTXB,Solar energy total end-use consumption,CO,Colorado,2504,Billion Btu
2019,SORCB,Solar energy consumed by the residential sector,CO,Colorado,1692,Billion Btu
2019,WYEGP,Wind electricity net generation in the electric power sector,CO,Colorado,10848,Million kilowatthours
2019,WYCCB,Wind energy consumed by the commercial sector,CO,Colorado,5,Billion Btu
2021,TEPFB,Total energy used as process fuel and other consumption that has no direct fuel costs,CO,Colorado,393466,Billion Btu
2021,CLGBP,Coal generating units net summer capacity in all sectors,CO,Colorado,4129,Thousand kilowatts
2021,TNICB,End-use energy consumption in the industrial sector,CO,Colorado,300866,Billion Btu
2020,JFTCV,Jet fuel total expenditures,CO,Colorado,465.5,Million dollars
2021,JFTXP,Jet fuel total end-use consumption,CO,Colorado,11517,Thousand barrels
2021,WDGBP,Wood generating units net summer capacity in all sectors,CO,Colorado,13,Thousand kilowatts
2021,ZWHDP,Heating degree days (HDD),CO,Colorado,6723,Days
2021,TEEIB,Total energy consumption in the electric power sector plus net imports of electricity into the United States,CO,Colorado,439842,Billion Btu
2019,WYCCP,Wind electricity net generation in the commercial sector,CO,Colorado,2,Million kilowatthours
2019,SOEGB,Solar energy consumed for electricity generation by the electric power sector,CO,Colorado,4104,Billion Btu
2019,WYICB,Wind energy consumed by the industrial sector,CO,Colorado,10,Billion Btu
2019,HYEGB,Hydropower consumed for electricity generation by the electric power sector,CO,Colorado,6134,Billion Btu
2019,SFRCB,Supplemental gaseous fuels consumed by the residential sector,CO,Colorado,1943,Billion Btu
2021,JFTCB,Jet fuel total consumption,CO,Colorado,65299,Billion Btu
2021,JFACD,Jet fuel price in the transportation sector,CO,Colorado,15.26,Dollars per million Btu
2021,WSEIB,Waste consumed by the electric power sector,CO,Colorado,1056,Billion Btu
2021,TEACV,Total energy expenditures in the transportation sector,CO,Colorado,10336,Million dollars
2019,WYTCP,Wind electricity total net generation,CO,Colorado,10852,Million kilowatthours
2019,NGRCD,Natural gas price in the residential sector (including supplemental gaseous fuels),CO,Colorado,7.2,Dollars per million Btu
2019,FFTCB,Fossil fuels total consumption,CO,Colorado,1353035,Billion Btu
2019,WYTXP,Wind energy total end-use net generation,CO,Colorado,4,Million kilowatthours
2019,WSGBP,Waste generating units net summer capacity in all sectors,CO,Colorado,16,Thousand kilowatts
2019,NGRCV,Natural gas expenditures in the residential sector (including supplemental gaseous fuels),CO,Colorado,1108.7,Million dollars
2021,NUGBP,Nuclear generating units net summer capacity in all sectors,CO,Colorado,0,Thousand kilowatts
2019,NGEID,Natural gas price in the electric power sector (including supplemental gaseous fuels),CO,Colorado,3.07,Dollars per million Btu
2020,ESSCB,Electricity total consumption adjusted for process fuel,CO,Colorado,189967,Billion Btu
2020,ESICV,Electricity expenditures in the industrial sector,CO,Colorado,1126.9,Million dollars
2020,ESICP,Electricity consumed by (sales to ultimate customers in) the industrial sector,CO,Colorado,15431,Million kilowatthours
2019,WYTXB,Wind energy total end-use consumption,CO,Colorado,15,Billion Btu
2020,JFTCP,Jet fuel total consumption,CO,Colorado,7617,Thousand barrels
2019,SOICP,Solar thermal and photovoltaic electricity net generation in the industrial sector,CO,Colorado,2,Million kilowatthours
2019,WYICP,Wind electricity net generation in the industrial sector,CO,Colorado,3,Million kilowatthours
2021,TERCD,Total energy average price in the residential sector,CO,Colorado,18.6,Dollars per million Btu
2019,NGISB,Natural gas consumed by the industrial sector excluding refinery fuel,CO,Colorado,93830,Billion Btu
2019,NGLPB,Natural gas consumed as lease and plant fuel,CO,Colorado,80251,Billion Btu
2019,NGCCB,"Natural gas delivered to the commercial sector, used as consumption (including supplemental gaseous fuels)",CO,Colorado,66656,Billion Btu
2019,NGICD,Natural gas price in the industrial sector (including supplemental gaseous fuels),CO,Colorado,4.97,Dollars per million Btu
2019,SOEGP,Solar thermal and photovoltaic electricity net generation in the electric power sector,CO,Colorado,1203,Million kilowatthours
2019,HYTCB,Hydropower total consumption,CO,Colorado,6179,Billion Btu
2019,GEEGB,Geothermal energy consumed for electricity generation by the electric power sector,CO,Colorado,0,Billion Btu
2019,WYEGB,Wind energy consumed for electricity generation by the electric power sector,CO,Colorado,37013,Billion Btu
2021,WWTXD,"Wood and waste average price, all end-use sectors",CO,Colorado,10.91,Dollars per million Btu
2021,WWEID,Wood and waste price in the electric power sector,CO,Colorado,2.39,Dollars per million Btu
2019,NGCCV,Natural gas expenditures in the commercial sector (including supplemental gaseous fuels),CO,Colorado,427.3,Million dollars
2019,NGEIV,Natural gas expenditures in the electric power sector (including supplemental gaseous fuels),CO,Colorado,448.9,Million dollars
2019,NGACV,Natural gas expenditures in the transportation sector,CO,Colorado,26.4,Million dollars
2019,NGTXK,Factor for converting natural gas used by end-use sectors from physical units to Btu,CO,Colorado,1.079,Thousand Btu per cubic foot
2019,NGTXV,Natural gas total end-use expenditures (including supplemental gaseous fuels),CO,Colorado,2028.4,Million dollars
2019,NGACB,Natural gas consumed by the transportation sector ,CO,Colorado,13717,Billion Btu
2021,WDRCD,Wood price in the residential sector,CO,Colorado,11.37,Dollars per million Btu
2021,WDTCB,Wood energy total consumption,CO,Colorado,11912,Billion Btu
2021,WWTCV,Wood and waste total expenditures,CO,Colorado,55,Million dollars
2020,OTGBP,Other generating units net summer capacity in all sectors,CO,Colorado,9,Thousand kilowatts
2021,PETXV,Primary energy total end-use expenditures,CO,Colorado,14509.8,Million dollars
2021,ZWCDP,Cooling degree days (CDD),CO,Colorado,428,Days
2019,NGEIK,Factor for converting natural gas consumed by the electric power sector from physical units to Btu,CO,Colorado,1.117,Thousand Btu per cubic foot
2019,NGEIB,Natural gas consumed by the electric power sector (including supplemental gaseous fuels),CO,Colorado,146107,Billion Btu
2021,ELIMD,Electricity imports average price,CO,Colorado,0,Dollars per million Btu
2021,ESTCB,Electricity total consumption (electricity sales to ultimate customers),CO,Colorado,192270,Billion Btu
2019,NGTCP,Natural gas total consumption (including supplemental gaseous fuels),CO,Colorado,513974,Million cubic feet
2021,WSICB,Waste energy consumed by the industrial sector,CO,Colorado,25,Billion Btu
2021,BMTCB,Biomass total consumption,CO,Colorado,40228,Billion Btu
2020,JFACD,Jet fuel price in the transportation sector,CO,Colorado,10.78,Dollars per million Btu
2020,JFTCD,"Jet fuel average price, all sectors",CO,Colorado,10.78,Dollars per million Btu
2020,HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,CO,Colorado,691,Thousand kilowatts
2021,ESRCV,Electricity expenditures in the residential sector,CO,Colorado,2696.1,Million dollars
2021,ESCCB,Electricity consumed by (sales to ultimate customers in) the commercial sector,CO,Colorado,70234,Billion Btu
2019,NGTCB,Natural gas total consumption (including supplemental gaseous fuels),CO,Colorado,559718,Billion Btu
2021,ESACB,Electricity consumed by (sales to ultimate customers in) the transportation sector,CO,Colorado,302,Billion Btu
2019,SOR7P,Solar photovoltaic electricity generation by small-scale applications in the residential sector,CO,Colorado,411,Million kilowatthours
2019,GECCB,Geothermal energy consumed by the commercial sector,CO,Colorado,221,Billion Btu
2019,HYCCP,Hydroelectricity net generation in the commercial sector,CO,Colorado,13,Million kilowatthours
2021,WWCCD,Wood and waste price in the commercial sector,CO,Colorado,11.37,Dollars per million Btu
2021,WWEIB,Wood and waste consumed by the electric power sector,CO,Colorado,2339,Billion Btu
2021,WWTCB,Wood and waste total consumption,CO,Colorado,12993,Billion Btu
2021,PECCV,Primary energy total expenditures in the commercial sector,CO,Colorado,833.5,Million dollars
2021,ESTCV,Electricity total expenditures,CO,Colorado,6113.2,Million dollars
2021,WDCCB,Wood energy consumed by the commercial sector,CO,Colorado,1892,Billion Btu
2021,WWCXB,Wood and waste energy consumed in the commercial sector at no cost,CO,Colorado,1096,Billion Btu
2021,TERPB,Total energy consumption per capita in the residential sector,CO,Colorado,57.5,Million Btu
2021,LOACB,The transportation sector's share of electrical system energy losses,CO,Colorado,424,Billion Btu
2021,MGTPV,Motor gasoline expenditures per capita,CO,Colorado,1246,Dollars
2019,NGTXB,Natural gas total end-use consumption (including supplemental gaseous fuels),CO,Colorado,413610,Billion Btu
2019,NGCCD,Natural gas price in the commercial sector (including supplemental gaseous fuels),CO,Colorado,6.41,Dollars per million Btu
2021,ESTXB,Electricity total end-use consumption (electricity sales to ultimate customers),CO,Colorado,192270,Billion Btu
2020,JFACB,Jet fuel consumed by the transportation sector,CO,Colorado,43190,Billion Btu
2019,GERCB,Geothermal energy consumed by the residential sector,CO,Colorado,271,Billion Btu
2021,TEICD,Total energy average price in the industrial sector,CO,Colorado,15.03,Dollars per million Btu
2021,TEACD,Total energy average price in the transportation sector,CO,Colorado,24.37,Dollars per million Btu
2021,TETPV,Total energy expenditures per capita,CO,Colorado,3548.6,Dollars
2021,PATPB,All petroleum products total consumption per capita,CO,Colorado,89,Million Btu
2019,SOGBP,Solar generating units net summer capacity in all sectors,CO,Colorado,607,Thousand kilowatts
2020,FFGBP,Fossil fuel total generating units net summer capacity in all sectors,CO,Colorado,10922,Thousand kilowatts
2021,ESRCB,Electricity consumed by (sales to ultimate customers in) the residential sector,CO,Colorado,70373,Billion Btu
2021,ELEXB,Electricity exported from the United States,CO,Colorado,0,Billion Btu
2020,JFTXB,Jet fuel total end-use consumption,CO,Colorado,43190,Billion Btu
2020,JFTXV,Jet fuel total end-use expenditures,CO,Colorado,465.5,Million dollars
2020,JFACV,Jet fuel expenditures in the transportation sector,CO,Colorado,465.5,Million dollars
2020,JFTXP,Jet fuel total end-use consumption,CO,Colorado,7617,Thousand barrels
2019,HYICP,Hydroelectricity net generation in the industrial sector,CO,Colorado,0,Million kilowatthours
2021,PERSB,"Primary energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",CO,Colorado,158369,Billion Btu
2021,LOTCB,Total electrical system energy losses,CO,Colorado,269876,Billion Btu
2019,GEEGP,Geothermal electricity net generation in the electric power sector,CO,Colorado,0,Million kilowatthours
2021,NUETB,"Nuclear energy consumed for electricity generation, total",CO,Colorado,0,Billion Btu
2021,HLTCK,Average factor for converting hydrocarbon gas liquids total consumption from physical unit to Btu,CO,Colorado,3.841,Million Btu per barrel
2021,PLICP,Plant condensate consumed by the industrial sector (through 1983),CO,Colorado,0,Thousand barrels
2020,OJGBP,Other gases generating units net summer capacity in all sectors,CO,Colorado,3,Thousand kilowatts
2020,WDGBP,Wood generating units net summer capacity in all sectors,CO,Colorado,13,Thousand kilowatts
2021,WWCSB,Wood and waste energy consumed in the commercial sector at a cost,CO,Colorado,797,Billion Btu
2021,WDRCV,Wood expenditures in the residential sector,CO,Colorado,39.6,Million dollars
2021,WDEIB,Wood consumed by the electric power sector,CO,Colorado,1282,Billion Btu
2021,NUETP,Nuclear electricity total net generation,CO,Colorado,0,Million kilowatthours
2020,JFTCB,Jet fuel total consumption,CO,Colorado,43190,Billion Btu
2020,JFACP,Jet fuel consumed by the transportation sector,CO,Colorado,7617,Thousand barrels
2020,JFTXD,"Jet fuel average price, all end-use sectors",CO,Colorado,10.78,Dollars per million Btu
2021,WWEIV,Wood and waste expenditures in the electric power sector,CO,Colorado,5.6,Million dollars
2021,WWICD,Wood and waste price in the industrial sector,CO,Colorado,3.05,Dollars per million Btu
2019,FFGBP,Fossil fuel total generating units net summer capacity in all sectors,CO,Colorado,10933,Thousand kilowatts
2019,KSTCV,Kerosene total expenditures,CO,Colorado,.4,Million dollars
2019,NGTXP,Natural gas total end-use consumption (including supplemental gaseous fuels),CO,Colorado,383199,Million cubic feet
2019,NNTCB,Natural gas total consumption (excluding supplemental gaseous fuels),CO,Colorado,553842,Billion Btu
2019,NGPZB,Natural gas for pipeline and distribution use,CO,Colorado,11734,Billion Btu
2019,SFTCB,Supplemental gaseous fuels total consumption,CO,Colorado,5876,Billion Btu
2021,PETCV,Primary energy total expenditures,CO,Colorado,15864.4,Million dollars
